"NRSA_ID","MMI_BENT","BENT_MMI_COND","AGGR_ECO9_2015","STATE","ALB_X","ALB_Y","LON_DD83","LAT_DD83","YEAR","DATE_COL"
"FW08LA009",16.95,"Poor","CPL","LA",462783.484546381,836889.350007226,-91.1669991959,30.5020534313,2009,"22Jun2009"
"FW08LA011",18.67,"Poor","CPL","LA",364389.881806727,1108005.04861548,-92.0764396785,32.9748015717,2008,"16Jul2008"
"FW08LA013",12.67,"Poor","CPL","LA",291967.112139101,954929.232415793,-92.9092086935,31.6265007544,2008,"20Jul2008"
"FW08LA014",52.88,"Fair","CPL","LA",376344.230691615,1087270.19117026,-91.9573662519,32.7846484449,2008,"14Jul2008"
"FW08LA017",23.27,"Poor","CPL","LA",396543.273193399,950548.897884557,-91.8054496108,31.5511897825,2008,"29Jul2008"
"FW08LA018",28.38,"Poor","CPL","LA",242951.414798686,1002460.76825627,-93.4141249771,32.0661756794,2008,"12Jul2008"
"FW08LA022",0,"Poor","CPL","LA",207235.290819127,1055293.77549284,-93.7809955787,32.5480588089,2008,"11Jul2008"
"FW08LA023",31.4,"Poor","CPL","LA",512804.391031173,772331.317746445,-90.6833368049,29.8973342647,2009,"17Jun2009"
"FW08LA028",16.67,"Poor","CPL","LA",453058.76526101,1076160.89151565,-91.1407226505,32.6529719178,2008,"19Aug2008"
"FW08LA029",10.42,"Poor","CPL","LA",325876.719632452,927988.505255574,-92.560852791,31.3741597649,2008,"18Jul2008"
"FW08LA030",20.9,"Poor","CPL","LA",346750.739606854,1077991.64468374,-92.2788168053,32.7123784739,2008,"05Aug2008"
"FW08LA032",35.67,"Poor","CPL","LA",417052.516173699,972892.670202939,-91.5778217478,31.7433042652,2008,"01Aug2008"
"FW08LA033",9.15,"Poor","CPL","LA",397504.249727596,933123.403560121,-91.8034320458,31.3944127344,2008,"02Aug2008"
"FW08LA035",4.22,"Poor","CPL","LA",439463.369460651,767940.638693506,-91.4446419416,29.8921321185,2009,"26Jun2009"
"FW08LA036",19.3,"Poor","CPL","LA",420478.886728182,862979.525635311,-91.5955188492,30.7550589153,2008,"28Oct2008"
"FW08LA037",35.7,"Poor","CPL","LA",277310.734590163,975436.210035929,-93.0575415046,31.8147320077,2008,"19Jul2008"
"FW08LA039",23.03,"Poor","CPL","LA",494745.452362493,819264.620799974,-90.843821333,30.328478246,2009,"23Jun2009"
"FW08LA040",21.15,"Poor","CPL","LA",410109.843729012,891720.816072624,-91.6903398943,31.0175682199,2009,"26Jun2009"
"FW08LA044",4.35,"Poor","CPL","LA",477017.719983945,1039865.35276696,-90.9050832668,32.3166809729,2008,"18Aug2008"
"FW08LA045",30.12,"Poor","CPL","LA",331613.103239049,923682.955023851,-92.5020396998,31.3336152411,2008,"31Jul2008"
"FW08LA049",26.03,"Poor","CPL","LA",377433.370549161,912253.047509397,-92.0242841668,31.2147817437,2009,"25Jun2009"
"FW08LA050",43.03,"Fair","CPL","LA",250169.652564027,1058178.97867906,-93.3206209939,32.5640004298,2009,"12Jun2009"
"FW08LA051",14.68,"Poor","CPL","LA",476442.365723366,805006.800310001,-91.0419661256,30.2090219359,2008,"10Nov2008"
"FW08LA052",6.1,"Poor","CPL","LA",442754.586180441,862621.46034564,-91.3627265794,30.7423108981,2008,"27Oct2008"
"FW08LA059",13.57,"Poor","CPL","LA",374680.113203683,766410.363085199,-92.1160033711,29.9042714515,2009,"07Jun2009"
"FW08LA062",64.32,"Good","CPL","LA",265480.297222699,924871.93251302,-93.1988057751,31.3639853523,2009,"09Jun2009"
"FW08LA067",4.68,"Poor","CPL","LA",525656.890663759,789683.62339678,-90.5400485486,30.0468963728,2008,"03Nov2008"
